published_at,view_count
2020-10-13,4524090.688679245
2020-10-14,2576579.7183098593
2020-10-15,5612375.511904762
2020-10-16,9569486.142857144
2020-10-17,5106890.136842106
2020-10-18,8327083.514563107
2020-10-19,5686502.253164557
2020-10-20,10772839.505263157
2020-10-21,5014741.01369863
2020-10-22,6836706.569230769
2020-10-23,26178946.12643678
2020-10-24,4210757.506666667
2020-10-25,3250712.685714286
2020-10-26,12089833.91954023
2020-10-27,6827765.505747126
2020-10-28,4776691.7
2020-10-29,5867854.80882353
2020-10-30,16401312.0
2020-10-31,6927975.337837838
2020-11-01,2965643.253012048
2020-11-02,3617702.8
2020-11-03,2669052.9393939395
2020-11-04,2896649.0677966103
2020-11-05,7335861.089285715
2020-11-06,14440391.578125
2020-11-07,4235989.171875
2020-11-08,2716122.1807228914
2020-11-09,4294011.234375
2020-11-10,2608460.1142857145
2020-11-11,2215594.185714286
2020-11-12,6595975.626865672
2020-11-13,13798597.52173913
2020-11-14,4303157.626373626
2020-11-15,2033484.0697674418
2020-11-16,2219769.144230769
2020-11-17,8522782.88372093
2020-11-18,3570437.1805555555
2020-11-19,5019234.836065574
2020-11-20,20688509.903614458
2020-11-21,3100982.6338028167
2020-11-22,2492312.8985507246
2020-11-23,4813842.914634147
2020-11-24,6315671.244444445
2020-11-25,8269631.577319588
2020-11-26,3551800.6
2020-11-27,8228506.690140845
2020-11-28,4257217.229508197
2020-11-29,2773009.947368421
2020-11-30,5373076.126436782
2020-12-01,5193587.483146068
2020-12-02,4120256.839506173
2020-12-03,4434559.926470588
2020-12-04,16049302.87012987
2020-12-05,3503810.0163934426
2020-12-06,3693485.82
2020-12-07,3870298.7972972975
2020-12-08,6387359.098901099
2020-12-09,6273073.361445783
2020-12-10,4612006.161290322
2020-12-11,7579348.833333333
2020-12-12,3711410.195652174
2020-12-13,4185046.650943396
2020-12-14,3595977.6395348837
2020-12-15,4772608.347222222
2020-12-16,4676702.155555556
2020-12-17,6475497.0
2020-12-18,16963866.838235293
2020-12-19,6895003.686567164
2020-12-20,2318603.373737374
2020-12-21,5622615.873563218
2020-12-22,7831235.658227848
2020-12-23,6155033.626865672
2020-12-24,3703963.4482758623
2020-12-25,6837800.790697674
2020-12-26,3991280.1454545455
2020-12-27,2906859.418181818
2020-12-28,3126223.476923077
2020-12-29,3218780.484375
2020-12-30,2338290.3529411764
2020-12-31,4656609.552631579
2021-01-01,10988692.588235294
2021-01-02,11878812.764705881
2021-01-03,2254828.2702702703
2021-01-04,2517933.242857143
2021-01-05,12287973.38095238
2021-01-06,2455094.5833333335
2021-01-07,6399518.666666667
2021-01-08,11850865.255319148
2021-01-09,3498901.3333333335
2021-01-10,2564744.2608695654
2021-01-11,5812669.927536231
2021-01-12,2779594.2602739725
2021-01-13,3175410.1971830986
2021-01-14,4025070.418181818
2021-01-15,7118718.012987013
2021-01-16,3164196.277777778
2021-01-17,2248894.289473684
2021-01-18,7407448.363636363
2021-01-19,3897396.581081081
2021-01-20,2191446.2328767125
2021-01-21,7214950.875
2021-01-22,7480924.046875
2021-01-23,5027188.0
2021-01-24,3786682.8139534886
2021-01-25,2786153.4545454546
2021-01-26,4353042.409638554
2021-01-27,4340150.917647059
2021-01-28,6899436.641975309
2021-01-29,6743511.4
2021-01-30,3379445.65625
2021-01-31,1980422.3260869565
2021-02-01,3039936.3146067415
2021-02-02,3156918.0412371135
2021-02-03,5887548.913978495
2021-02-04,4336429.420289855
2021-02-05,9259642.940298507
2021-02-06,5276619.590361446
2021-02-07,3006666.671232877
2021-02-08,3895066.2473118277
2021-02-09,2317346.28
2021-02-10,2395565.8076923075
2021-02-11,3043019.73015873
2021-02-12,16883892.56756757
2021-02-13,3466737.9102564105
2021-02-14,8804272.666666666
2021-02-15,3803984.6440677964
2021-02-16,3130151.518072289
2021-02-17,3189275.925
2021-02-18,3830082.803030303
2021-02-19,4535960.458333333
